Flax classes are deprecated and will be removed in Diffusers v1.0.0. We recommend migrating to PyTorch classes or pinning your version of Diffusers.
Flax classes are deprecated and will be removed in Diffusers v1.0.0. We recommend migrating to PyTorch classes or pinning your version of Diffusers.
[load] DiT-XL from /home/qlib/.stable_worldmodel/dit_xl_2_256
An error occurred while trying to fetch /home/qlib/.stable_worldmodel/dit_xl_2_256: Error no file named diffusion_pytorch_model.safetensors found in directory /home/qlib/.stable_worldmodel/dit_xl_2_256.
Defaulting to unsafe serialization. Pass `allow_pickle=False` to raise an error instead.
An error occurred while trying to fetch /home/qlib/.stable_worldmodel/dit_xl_2_256: Error no file named diffusion_pytorch_model.safetensors found in directory /home/qlib/.stable_worldmodel/dit_xl_2_256.
Defaulting to unsafe serialization. Pass `allow_pickle=False` to raise an error instead.
  transformer has 28 blocks; applying LoRA to last 4
  LoRA params: 0.590 M trainable / 750.4 M total (0.079%)
  using 32000 training frames, 2000 steps / epoch
  ep 0 step 0/2000 (global 1/16000) loss=0.0092 elapsed=1s eta=22693s
  ep 0 step 49/2000 (global 50/16000) loss=0.0084 elapsed=14s eta=4524s
  ep 0 step 99/2000 (global 100/16000) loss=0.0111 elapsed=27s eta=4302s
  ep 0 step 149/2000 (global 150/16000) loss=0.0107 elapsed=40s eta=4209s
  ep 0 step 199/2000 (global 200/16000) loss=0.0072 elapsed=53s eta=4153s
  ep 0 step 249/2000 (global 250/16000) loss=0.0096 elapsed=65s eta=4125s
  ep 0 step 299/2000 (global 300/16000) loss=0.0084 elapsed=78s eta=4097s
  ep 0 step 349/2000 (global 350/16000) loss=0.0036 elapsed=91s eta=4075s
  ep 0 step 399/2000 (global 400/16000) loss=0.0060 elapsed=104s eta=4065s
  ep 0 step 449/2000 (global 450/16000) loss=0.0185 elapsed=117s eta=4041s
  ep 0 step 499/2000 (global 500/16000) loss=0.0136 elapsed=130s eta=4040s
  ep 0 step 549/2000 (global 550/16000) loss=0.0115 elapsed=143s eta=4014s
  ep 0 step 599/2000 (global 600/16000) loss=0.0187 elapsed=156s eta=3997s
  ep 0 step 649/2000 (global 650/16000) loss=0.0222 elapsed=169s eta=3990s
  ep 0 step 699/2000 (global 700/16000) loss=0.0162 elapsed=182s eta=3970s
  ep 0 step 749/2000 (global 750/16000) loss=0.0068 elapsed=195s eta=3960s
  ep 0 step 799/2000 (global 800/16000) loss=0.0087 elapsed=208s eta=3948s
  ep 0 step 849/2000 (global 850/16000) loss=0.0075 elapsed=221s eta=3932s
  ep 0 step 899/2000 (global 900/16000) loss=0.0259 elapsed=234s eta=3918s
  ep 0 step 949/2000 (global 950/16000) loss=0.0098 elapsed=246s eta=3904s
  ep 0 step 999/2000 (global 1000/16000) loss=0.0272 elapsed=259s eta=3889s
  ep 0 step 1049/2000 (global 1050/16000) loss=0.0098 elapsed=272s eta=3873s
  ep 0 step 1099/2000 (global 1100/16000) loss=0.0090 elapsed=285s eta=3854s
  ep 0 step 1149/2000 (global 1150/16000) loss=0.0113 elapsed=297s eta=3842s
  ep 0 step 1199/2000 (global 1200/16000) loss=0.0067 elapsed=310s eta=3827s
  ep 0 step 1249/2000 (global 1250/16000) loss=0.0069 elapsed=323s eta=3812s
  ep 0 step 1299/2000 (global 1300/16000) loss=0.0184 elapsed=336s eta=3799s
  ep 0 step 1349/2000 (global 1350/16000) loss=0.0214 elapsed=349s eta=3792s
  ep 0 step 1399/2000 (global 1400/16000) loss=0.0043 elapsed=362s eta=3779s
  ep 0 step 1449/2000 (global 1450/16000) loss=0.0175 elapsed=375s eta=3766s
  ep 0 step 1499/2000 (global 1500/16000) loss=0.0079 elapsed=388s eta=3754s
  ep 0 step 1549/2000 (global 1550/16000) loss=0.0365 elapsed=401s eta=3739s
  ep 0 step 1599/2000 (global 1600/16000) loss=0.0109 elapsed=414s eta=3726s
  ep 0 step 1649/2000 (global 1650/16000) loss=0.0083 elapsed=427s eta=3712s
  ep 0 step 1699/2000 (global 1700/16000) loss=0.0173 elapsed=440s eta=3700s
  ep 0 step 1749/2000 (global 1750/16000) loss=0.0118 elapsed=453s eta=3688s
  ep 0 step 1799/2000 (global 1800/16000) loss=0.0145 elapsed=466s eta=3676s
  ep 0 step 1849/2000 (global 1850/16000) loss=0.0154 elapsed=479s eta=3666s
  ep 0 step 1899/2000 (global 1900/16000) loss=0.0106 elapsed=492s eta=3651s
  ep 0 step 1949/2000 (global 1950/16000) loss=0.0139 elapsed=505s eta=3640s
  ep 0 step 1999/2000 (global 2000/16000) loss=0.0081 elapsed=518s eta=3625s
  ep 1 step 0/2000 (global 2001/16000) loss=0.0147 elapsed=519s eta=3628s
  ep 1 step 49/2000 (global 2050/16000) loss=0.0283 elapsed=531s eta=3615s
  ep 1 step 99/2000 (global 2100/16000) loss=0.0121 elapsed=545s eta=3604s
  ep 1 step 149/2000 (global 2150/16000) loss=0.0120 elapsed=558s eta=3591s
  ep 1 step 199/2000 (global 2200/16000) loss=0.0092 elapsed=571s eta=3580s
  ep 1 step 249/2000 (global 2250/16000) loss=0.0145 elapsed=583s eta=3565s
  ep 1 step 299/2000 (global 2300/16000) loss=0.0567 elapsed=596s eta=3553s
  ep 1 step 349/2000 (global 2350/16000) loss=0.0252 elapsed=610s eta=3540s
  ep 1 step 399/2000 (global 2400/16000) loss=0.0075 elapsed=622s eta=3527s
  ep 1 step 449/2000 (global 2450/16000) loss=0.0150 elapsed=635s eta=3514s
  ep 1 step 499/2000 (global 2500/16000) loss=0.0389 elapsed=648s eta=3501s
  ep 1 step 549/2000 (global 2550/16000) loss=0.0538 elapsed=662s eta=3490s
  ep 1 step 599/2000 (global 2600/16000) loss=0.0165 elapsed=675s eta=3477s
  ep 1 step 649/2000 (global 2650/16000) loss=0.0176 elapsed=688s eta=3464s
  ep 1 step 699/2000 (global 2700/16000) loss=0.0251 elapsed=700s eta=3450s
  ep 1 step 749/2000 (global 2750/16000) loss=0.0091 elapsed=713s eta=3435s
  ep 1 step 799/2000 (global 2800/16000) loss=0.0265 elapsed=726s eta=3422s
  ep 1 step 849/2000 (global 2850/16000) loss=0.0518 elapsed=739s eta=3410s
  ep 1 step 899/2000 (global 2900/16000) loss=0.1232 elapsed=752s eta=3396s
  ep 1 step 949/2000 (global 2950/16000) loss=0.0228 elapsed=764s eta=3381s
  ep 1 step 999/2000 (global 3000/16000) loss=0.0484 elapsed=777s eta=3369s
  ep 1 step 1049/2000 (global 3050/16000) loss=0.0154 elapsed=790s eta=3354s
  ep 1 step 1099/2000 (global 3100/16000) loss=0.0144 elapsed=803s eta=3342s
  ep 1 step 1149/2000 (global 3150/16000) loss=0.0272 elapsed=816s eta=3330s
  ep 1 step 1199/2000 (global 3200/16000) loss=0.0440 elapsed=829s eta=3317s
  ep 1 step 1249/2000 (global 3250/16000) loss=0.0729 elapsed=842s eta=3304s
  ep 1 step 1299/2000 (global 3300/16000) loss=0.0591 elapsed=855s eta=3292s
  ep 1 step 1349/2000 (global 3350/16000) loss=0.1093 elapsed=869s eta=3280s
  ep 1 step 1399/2000 (global 3400/16000) loss=0.1523 elapsed=882s eta=3267s
  ep 1 step 1449/2000 (global 3450/16000) loss=0.1562 elapsed=894s eta=3254s
  ep 1 step 1499/2000 (global 3500/16000) loss=0.3036 elapsed=907s eta=3241s
  ep 1 step 1549/2000 (global 3550/16000) loss=0.2916 elapsed=920s eta=3227s
  ep 1 step 1599/2000 (global 3600/16000) loss=0.2564 elapsed=933s eta=3215s
  ep 1 step 1649/2000 (global 3650/16000) loss=0.2507 elapsed=946s eta=3202s
  ep 1 step 1699/2000 (global 3700/16000) loss=0.2997 elapsed=959s eta=3189s
  ep 1 step 1749/2000 (global 3750/16000) loss=0.2949 elapsed=972s eta=3176s
  ep 1 step 1799/2000 (global 3800/16000) loss=0.3518 elapsed=985s eta=3163s
  ep 1 step 1849/2000 (global 3850/16000) loss=0.2587 elapsed=998s eta=3150s
  ep 1 step 1899/2000 (global 3900/16000) loss=0.3085 elapsed=1011s eta=3137s
  ep 1 step 1949/2000 (global 3950/16000) loss=0.3783 elapsed=1024s eta=3124s
  ep 1 step 1999/2000 (global 4000/16000) loss=0.3979 elapsed=1038s eta=3113s
  [ckpt] saved LoRA at end of epoch 2 → /home/qlib/agent_memory/wm/artifacts/embeddings/dit_xl_lora_collision_traj/epoch_2
  ep 2 step 0/2000 (global 4001/16000) loss=0.3050 elapsed=1038s eta=3114s
  ep 2 step 49/2000 (global 4050/16000) loss=0.4406 elapsed=1051s eta=3101s
  ep 2 step 99/2000 (global 4100/16000) loss=0.2810 elapsed=1064s eta=3088s
  ep 2 step 149/2000 (global 4150/16000) loss=0.3031 elapsed=1077s eta=3075s
  ep 2 step 199/2000 (global 4200/16000) loss=0.3368 elapsed=1090s eta=3062s
  ep 2 step 249/2000 (global 4250/16000) loss=0.3736 elapsed=1103s eta=3049s
  ep 2 step 299/2000 (global 4300/16000) loss=0.3504 elapsed=1116s eta=3036s
  ep 2 step 349/2000 (global 4350/16000) loss=0.2096 elapsed=1129s eta=3024s
  ep 2 step 399/2000 (global 4400/16000) loss=0.2693 elapsed=1142s eta=3011s
  ep 2 step 449/2000 (global 4450/16000) loss=0.3538 elapsed=1155s eta=2998s
  ep 2 step 499/2000 (global 4500/16000) loss=0.3264 elapsed=1169s eta=2987s
  ep 2 step 549/2000 (global 4550/16000) loss=0.4163 elapsed=1181s eta=2973s
  ep 2 step 599/2000 (global 4600/16000) loss=0.2942 elapsed=1194s eta=2960s
  ep 2 step 649/2000 (global 4650/16000) loss=0.3377 elapsed=1207s eta=2947s
  ep 2 step 699/2000 (global 4700/16000) loss=0.3553 elapsed=1220s eta=2933s
  ep 2 step 749/2000 (global 4750/16000) loss=0.4410 elapsed=1233s eta=2921s
  ep 2 step 799/2000 (global 4800/16000) loss=0.4193 elapsed=1247s eta=2909s
  ep 2 step 849/2000 (global 4850/16000) loss=0.2337 elapsed=1259s eta=2895s
  ep 2 step 899/2000 (global 4900/16000) loss=0.4406 elapsed=1272s eta=2882s
  ep 2 step 949/2000 (global 4950/16000) loss=0.3596 elapsed=1285s eta=2869s
  ep 2 step 999/2000 (global 5000/16000) loss=0.4112 elapsed=1298s eta=2856s
  ep 2 step 1049/2000 (global 5050/16000) loss=0.3665 elapsed=1311s eta=2843s
  ep 2 step 1099/2000 (global 5100/16000) loss=0.5239 elapsed=1324s eta=2830s
  ep 2 step 1149/2000 (global 5150/16000) loss=0.4930 elapsed=1337s eta=2818s
  ep 2 step 1199/2000 (global 5200/16000) loss=0.4242 elapsed=1350s eta=2804s
  ep 2 step 1249/2000 (global 5250/16000) loss=0.4784 elapsed=1363s eta=2790s
  ep 2 step 1299/2000 (global 5300/16000) loss=0.5116 elapsed=1375s eta=2777s
  ep 2 step 1349/2000 (global 5350/16000) loss=0.3249 elapsed=1389s eta=2765s
  ep 2 step 1399/2000 (global 5400/16000) loss=0.4773 elapsed=1402s eta=2751s
